"Symbol","Date","Open","High","Low","Close","Percent Change","Volume","Turn Over"
"NEPSE","2023-01-01","2037.21","2083.19","2030.25","2046.26","0.85 %","4,048,879,510.19","-"
"NEPSE","2023-01-02","2047.46","2070.58","2028.32","2064.09","0.87 %","2,960,927,440.67","-"
"NEPSE","2023-01-03","2066.02","2081.53","2050.57","2061.06","-0.15 %","3,458,089,787.92","-"
"NEPSE","2023-01-04","2069.34","2126.04","2066.57","2125.84","3.14 %","3,501,142,097.43","-"
"NEPSE","2023-01-05","2134.88","2160.73","2113.32","2143.93","0.84 %","5,040,740,937.09","-"
"NEPSE","2023-01-08","2148.93","2191.69","2126.47","2164.61","0.96 %","5,459,925,001.19","-"
"NEPSE","2023-01-09","2171.46","2211.77","2161.03","2211.76","2.18 %","5,314,307,853.43","-"
"NEPSE","2023-01-10","2215.35","2277.61","2178.19","2190.42","-0.97 %","7,658,823,579.86","-"
"NEPSE","2023-01-12","2203.84","2237.37","2143.97","2149.39","-1.87 %","5,477,624,724.37","-"
"NEPSE","2023-01-17","2152.05","2187.79","2136.38","2182.11","1.52 %","3,724,794,587.76","-"
"NEPSE","2023-01-18","2185.73","2214.78","2166.35","2173.1","-0.41 %","4,928,714,602.65","-"
"NEPSE","2023-01-19","2175.3","2192.71","2163.14","2178.81","0.26 %","3,044,529,329.67","-"
"NEPSE","2023-01-23","2184.77","2203.13","2162.83","2165.1","-0.63 %","3,864,008,973.69","-"
"NEPSE","2023-01-24","2166.05","2173.24","2139.89","2173.25","0.38 %","3,003,230,039.44","-"
"NEPSE","2023-01-25","2175.67","2199.93","2175.13","2183.62","0.48 %","3,466,508,338.64","-"
"NEPSE","2023-01-26","2186.5","2201.64","2177.99","2183.21","-0.02 %","2,860,082,839.03","-"
"NEPSE","2023-01-29","2185.46","2192.85","2163.89","2168.53","-0.67 %","3,017,063,956.47","-"
"NEPSE","2023-01-30","2166.31","2174.66","2124.83","2127.52","-1.89 %","3,302,201,825.93","-"
"NEPSE","2023-01-31","2130.29","2136.44","2107.77","2111.68","-0.74 %","2,824,540,406.61","-"
"NEPSE","2023-02-01","2111.44","2124.3","2104.48","2116.65","0.24 %","1,767,051,916.00","-"
"NEPSE","2023-02-02","2118.56","2126.14","2090.14","2094.54","-1.04 %","2,096,419,161.88","-"
"NEPSE","2023-02-05","2096.7","2118.27","2087.69","2096.08","0.07 %","1,931,719,103.93","-"
"NEPSE","2023-02-06","2096.32","2102.7","2087.2","2100.7","0.22 %","1,474,161,645.60","-"
"NEPSE","2023-02-07","2100.12","2177.75","2099.03","2177.34","3.65 %","3,362,267,078.75","-"
"NEPSE","2023-02-08","2181.62","2213.89","2161","2170.21","-0.33 %","3,691,972,817.15","-"
"NEPSE","2023-02-09","2171.17","2183.75","2153.31","2182.61","0.57 %","2,062,058,749.14","-"
"NEPSE","2023-02-12","2181.2","2181.2","2117.67","2121.75","-2.79 %","3,047,739,812.93","-"
"NEPSE","2023-02-14","2122.41","2122.56","2100.57","2105.46","-0.77 %","1,787,016,372.71","-"
"NEPSE","2023-02-15","2105.03","2117.84","2086.78","2091.56","-0.66 %","1,732,575,202.79","-"
"NEPSE","2023-02-16","2090.49","2099.43","2066.78","2070.41","-1.01 %","1,684,942,096.45","-"
"NEPSE","2023-02-20","2069.67","2069.78","2040.18","2046.81","-1.14 %","1,947,623,993.42","-"
"NEPSE","2023-02-22","2049.65","2084.04","2048.11","2080.38","1.64 %","1,803,282,180.68","-"
"NEPSE","2023-02-23","2078.48","2078.48","2014.6","2022.64","-2.78 %","2,522,713,153.88","-"
"NEPSE","2023-02-26","2016.54","2029.66","1961.24","2027.19","0.22 %","2,525,071,806.13","-"
"NEPSE","2023-02-27","2029.23","2043.99","1990.27","2023.54","-0.18 %","1,893,736,365.84","-"
"NEPSE","2023-02-28","2024.82","2033.7","2013.25","2019.93","-0.18 %","1,387,865,515.75","-"
"NEPSE","2023-03-01","2020.72","2024.7","1994.46","1995.49","-1.21 %","1,288,363,424.63","-"
"NEPSE","2023-03-02","1995.3373","1996.4712","1966.9105","1967.4503","-1.41 %","1,303,055,315.80","-"
"NEPSE","2023-03-05","1967.4925","1975.93","1935.21","1938.25","-1.56 %","1,392,354,893.48","-"
"NEPSE","2023-03-07","1937.43","1964.08","1937.43","1952.66","0.74 %","1,204,409,411.62","-"
"NEPSE","2023-03-09","1955.57","2002.99","1955.55","2002.7","2.56 %","1,565,558,802.91","-"
"NEPSE","2023-03-12","2008.26","2017.3","1970.67","1975.89","-1.34 %","1,666,931,510.75","-"
"NEPSE","2023-03-13","1975.43","1977.52","1944.42","1951.21","-1.25 %","1,162,503,515.16","-"
"NEPSE","2023-03-14","1950.41","1965.19","1939.32","1953.06","0.09 %","1,135,925,357.91","-"
"NEPSE","2023-03-15","1953.96","1956.37","1926.57","1938.62","-0.74 %","1,202,141,882.65","-"
"NEPSE","2023-03-16","1938.62","1946.77","1919.93","1933.31","-0.27 %","1,141,455,062.50","-"
"NEPSE","2023-03-19","1933.23","1939.43","1922.22","1926.4","-0.36 %","1,069,804,825.13","-"
"NEPSE","2023-03-20","1926.28","1949.17","1925.41","1949.06","1.18 %","1,298,583,988.29","-"
"NEPSE","2023-03-22","1952.19","1962.94","1929.49","1933.29","-0.81 %","1,333,719,929.67","-"
